IN,インディアナ州,1,99
IN,インディアナ州,1,トッド・ヤング,GOP,共和党,1088428,59,1,0,22752,1
IN,インディアナ州,2,トーマス・マクダーモット,Dem,民主党,702873,38,0,0,22751,0
IN,インディアナ州,3,James Sceniak,Lib,無所属,63750,3,0,0,22753,0
